Name,About,Tags,Website,Twitter
Aragon,"Aragon is a suite of applications and services that enable new forms of global communities.
Communities can organize around capital assets, currency, or tokens, which will increase in value as more people hold and use that asset to participate in the community.
By providing the tools for people to turn a community, cause, or even a meme into its own economy, we can unlock a long-tail of DAOs that are not limited just to protocols like Ethereum or Bitcoin.
Aragon not only provides basic financial tools like tokenization but can create reproducible and broadly applicable templates for defining the boundaries of a community and flowing value to contributors over the internet without traditional intermediaries.","Governance, Launcher, Treasury",https://aragon.org/,https://twitter.com/aragonproject?lang=es
Astro,"Astro is a no-code DAO creation platform. Astro allows DAO members to create & vote on proposals, set bounties, and manage a treasury. Astro sets up the DAO on the NEAR blockchain, which has interoperability and bridges to other L1 blockchains.","Governance, Launcher, Treasury",https://astrodao.com/,https://twitter.com/AstroDao
bip,"Bip is a community workspace with Git-editable documents and deep integrations with modern community spaces, such as Discord and Slack. Bip features include bots to export insightful community conversations, contributor leaderboards, permissions management, and social-driven discovery of new projects.",Knowledge Management,https://bip.so/,https://twitter.com/bip_so
Boardroom,"Boardroom is a governance & data portal for its integrated, mainly DeFi protocol DAOs. It offers a dashboard allowing easier participation, ideation workstreams, and real-time treasury & governance data; and an explorer for the integrated DAOs.",Governance,https://www.boardroom.info/,https://twitter.com/boardroom_info
BrightID,"DAO-governed, Bright ID is a social-graph identity network that pledges to store no personal data. It applies peer evaluatation to identify trusted prospective members as unique users of BrightID uesr dapps.",Identity,https://www.brightid.org/,https://twitter.com/BrightIDProject
Build a Funding DAO on Polygon,"In this tutorial, we will learn how to create a Decentralized Autonomous Organization, or ""DAO"" with a Solidity smart contract deployed on Polygon and a NextJS front-end to interact with the DAO.",DAO Guide,https://learn.figment.io/tutorials/funding-dao-polygon,
https://future.a16z.com/building-and-running-a-dao-why-governance-matters/,"A practical guide for DAOs' main functions, needs, and governance areas. Author: Tarun Chitra.",DAO Guide,https://future.a16z.com/building-and-running-a-dao-why-governance-matters/,
buildspace,"Learn and start building cool stuff, earn NFTs and access secret work opportunities in crypto. Among other projects, you can Build your own DAO with just Javascript in a weekend.",Infrastructure,https://buildspace.so/,https://twitter.com/_buildspace
Ceramic,"Ceramic is a decentralized network to hash-store, access, manage and interact between mutable data streams over IPFS, including custom revrtieval functions, Web3 identificatoin integrations and app-building.",Infrastructure,https://ceramic.network/,https://twitter.com/ceramicnetwork
Clarity,"Clarity is a knowledge management platform that mashes up features of Notion, Discord, and Slack, without all the clutter.",Knowledge Management,https://www.clarity.so/,https://twitter.com/clarityteams
Coinshift,Coinshift simplifies treasury management by providing efficient multisig tooling to save time & money for crypto organisations.,Treasury,https://coinshift.xyz/,https://twitter.com/0xCoinshift
Coinvise,"Powerful tools for creators to build & operate a DAO. Creators use Coinvise for minting a token, retroactive airdrops, crowdfunding & creating incentives for their community.","Contribution & Reputation, Infrastructure",https://www.coinvise.co/,https://twitter.com/CoinviseCo
Collab.land,"Collab.Land leverages the power of identity through crypto currency to create a social space unique to a specific network of humans.
Once you add the bot to your Telegram group or Discord guild, they will manage your people for you. Depending on their token holdings they will be allowed to join the community. If they sell, the bot boots them.","Governance, Identity",https://collab.land/,https://twitter.com/Collab_Land_
Colony,"The Colony platform offers a free suite of tools to launch and run DAOs - Colonies, which make up Colony as a DAO-of-DAOs. Served capabilities include native DAO setting & launching, token issuing & selling, and flexible structure, attention & treasury management tools.","Governance, Launcher, Treasury",https://colony.io/,https://twitter.com/joincolony
Commonwealth,"Commonwealth serves management tools and 1-stop integration platform for on-chain discussion, propsal-making & voting products, including identity services and native crowdfunding.","Discussion, Governance, Treasury",https://commonwealth.im/,https://twitter.com/hicommonwealth
https://compound.finance/docs/governance,"The Compound protocol is a DeFi pioneer in both financial producting and governance. Its simple-enough governance flow is used by some main(ly DeFi) DAOs. It includes user-set voting bars, voting delegation, execution delay, and an emergency function.","DeFi, Governance",https://compound.finance/docs/governance,https://twitter.com/compoundfinance
Coordinape,"Coordinape facilitates rewards to community members based on the recognition from their peers. Each member has a set amount of allocation points, and can allocate points to the contributors they have worked with based on what they think of their contributions.","Identity, Treasury",https://coordinape.com/,https://twitter.com/coordinape
DAO Haus (Moloch),"DAOHause is Moloch DAOs' factory. Manufactured DAOs bear a set of minimaly viable functions, including ragequit, delegation and emergency. DAOHause is governed by holders of the HAUS token - moloch DAOs, their members and contributors.","Governance, Launcher, Treasury",https://daohaus.club/,https://twitter.com/nowdaoit
DAO Masters,"Explore the tools to launch, manage, and grow a DAO.",DAO Guide,https://www.daomasters.xyz/,
https://static1.squarespace.com/static/564100e0e4b08c9445a5fc5d/t/5ec61d6241af4a208ba87f52/1590041969238/DAO+-+A+Decentralized+Governance+Layer+for+the+Internet+of+Value-1.pdf,"A clear, elaborated introduction to core DAO concepts, ecosystem, praxis, and more. Authors: George Samman, David Freuden.",DAO Guide,https://static1.squarespace.com/static/564100e0e4b08c9445a5fc5d/t/5ec61d6241af4a208ba87f52/1590041969238/DAO+-+A+Decentralized+Governance+Layer+for+the+Internet+of+Value-1.pdf,
DAOStack,"DAOstack has built software for creating, managing, and communicating between DAOs, including collective attention management, governance sandbox, UI and methods library. While it still serves, its development is currently idle.","Governance, Launcher, Treasury",https://daostack.io/,https://twitter.com/daostack
Decentralized autonomous organizations (DAOs),"The official Ethereum Foundation intro-take on DAOs, with further useful links.",DAO Guide,https://ethereum.org/en/dao/#what-are-daos,
DeepDAO,"DeepDAO collects and organizes a variety of quantitative and qualitative data about DAOs governance, their structure, people and decision-making. It currently serves interactive data dashboards, project descriptions, a DAO Tools go-to and a governerds' discord channel.","Analytics, Identity",https://deepdao.io/,https://twitter.com/DeepDAO_io
DGOV Foundation,"DGOV connects people to discover practices, implement technical solutions and create complex, scalable governance systems that create cohesion and allow people to flourish.",Governance,https://dgov.foundation/,https://twitter.com/dgovearth
Discord,"Discord offers a platform of multi-thread, media-rich content. It is widely used by DAOs for varied group and private communications, including as official part of decision-making.","Discussion, Governance",https://discord.com/,https://twitter.com/discord
Discourse,"Discourse is a free, integrative platform for community discussions and signaling. Its 5-level trust system rewards participation with permissions. It is widely used by DAOs to deliberate, draft governance proposals, signal opinion and manage community attention.","Discussion, Governance",https://www.discourse.org/,https://twitter.com/discourse
disperse,disperse is a simple and elegant solution to help DAOs batch payments or airdrops.,Treasury,https://disperse.app/,
Dune Analytics,"Dune Analytics is a powerful tool for blockchain research. Dune gives you all the tools to query, extract, and visualize vast amounts of data from the blockchain. Dune is unlocking the power of public blockchain data by making it accessible to everyone.",Analytics,https://dune.xyz/browse/dashboards,https://twitter.com/DuneAnalytics
ENS Domains,"The Ethereum Name Service(ENS) has been a fundamental building block of the web3 space. An ethereum iteration of DNS, it allows users to shorten their wallet addresses to customizable, digestible names of their choice. So instead of sending funds to a long traditional ethereum address, funds can be sent to yourname.eth.","Identity, Infrastructure",https://ens.domains/,https://twitter.com/ensdomains
Enzyme,"Enzyme is a council-led DAO controlling the Enzyme protocol for assets management, that is based on ready-made and user-strategized investment vaults. It offers DAOs a set of flexible capabilities to run their treasuries, currently leaning towards high-risk DeFi.","DeFi, Treasury",https://enzyme.finance/,https://twitter.com/enzymefinance
EPNS,"Ethereum Push Notification Service (EPNS) is a decentralized notification (communication) protocol that enables any dApps or smart contracts to send blockchain agnostic, incentivized and dynamic notifications",Knowledge Management,https://epns.io/,https://twitter.com/epnsproject
Everest,"Everest DAO is an innovation-driven project focused on tackling new and exciting products that range from DeFi, DAOs, NFTs, and more.",Governance,https://everestdao.net/,https://twitter.com/EverestDAO
Fairmint,"Fairmint provides your company with a full-featured stakeholder backend to run and manage a Rolling SAFE offering. Fairmint’s rolling agreement for future equity is an innovation on the classic SAFE created by Y Combinator 10 years ago. SAFE stands for Simple Agreement for Future Equity and is an agreement between an investor and a company that provides the investor with rights to future equity in the company without determining a specific price per share at the time of the initial investment. The Rolling SAFE is similar but allows for investment in a company at any time, with an implied valuation that grows automatically as more funds are raised. As of September 2021, Fairmint has raised $5.8M on a rolling basis (representing 32% equity) since September, 2020 using their own product.",Treasury,https://www.fairmint.co/,https://twitter.com/fairmintCO
Gardens,"Gardens is a launcher, management, discussion & documentation pack for DAOs, called Gardens. Gardens' governance is rooted in a coded constitution, conviction voting, consensus-building, and official dispute resolution.","Governance, Launcher, Treasury",https://gardens.1hive.org/#/home,https://twitter.com/gardensdao
GitBook,GitBook helps you publish beautiful docs for your users and centralize your teams' knowledge for advanced collaboration.,Knowledge Management,https://www.gitbook.com/,https://twitter.com/gitbookio
Gitcoin,"Gitcoin is the community of builders, creators, and protocols at the center of open web ecosystems",Contribution & Reputation,https://gitcoin.co,https://twitter.com/gitcoin
GitHub,"GitHub is a provider of Internet hosting for software development and version control using Git. It offers the distributed version control and source code management (SCM) functionality of Git, plus its own features. It provides access control and several collaboration features such as bug tracking
, feature requests, task management, continuous integration and wikis for every project.","Contribution & Reputation, Infrastructure, Knowledge Management",https://github.com/,https://twitter.com/github
Gnosis Safe,"Gnosis Safe is a smart contract wallet running on Ethereum that requires a minimum number of people to approve a transaction before it can occur (M-of-N). If for example you have 3 main stakeholders in your business, you are able to set up the wallet to require approval from all 3 people before the transaction is sent. This assures that no single person could compromise the funds.",Treasury,https://forefront.market/canon/tools,https://twitter.com/gnosisSafe
Guild,"Guild is an Agora Space product which facilitates the setup of token-gated Discord channels and roles, based on ownership of cross-chain, fungible and non-fungible tokens (NFTs).","DeFi, Governance",https://guild.xyz/,
HackMD,"HackMD is a real-time, multi-platform collaborative Markdown editor. You can use HackMD to write notes with other people on your computer, tablet, or phone.",Knowledge Management,https://hackmd.io/,https://twitter.com/hackmdio
How to develop and launch your DeFi project,This is a step by step guide on how to develop your Decentralized Finance (DeFi) project.,DeFi Guide,https://blockster.com/blockdesk/817_how-to-develop-and-launch-your-defi-project,
Idavoll,"Idavoll is a Decentralized Autonomous Organization (DAO) management service provider
that unpacks necessary infrastructure and services, to enable better project/user
communication and management, that includes DAO creation and management toolbox,
court, investment concurrent resolution and social discussion panel.","Governance, Launcher",https://idavoll.network/,https://twitter.com/idavollDAO
IDX,"IDX is a decentralized Identity protocol for individuals to own, cultivate, permission and use their unified digital identities at will. It is part of Credify, which facilitates commercial use of such data.",Identity,https://idx.xyz/,https://twitter.com/identityindex
https://immunefi.com/,"Immunefi runs a bug bounty platform to test and guard blockchain security, and specifically smart contracts. Its bounties are attended by a network of registered hackers.",Security & Privacy,https://immunefi.com/,https://twitter.com/immunefi
IPFS,"The InterPlanetary File System is a protocol network for a Web3 decentralized, resillient and private file storage & access.",Infrastructure,https://ipfs.io/,https://twitter.com/ipfs
Juicebox,Juicebox is dedicated to developing DAO treasury management software. The protocol is built to support small projects with grand visions as well as large projects that have complex operations. DAOs crowdfunded on Juicebox will be able to calibrate incentives and allocations for their users and contributors over time.,Funding,https://juicebox.money/#/,https://twitter.com/juiceboxeth
Kleros,"Kleros is a crowdsourcing, smart contracts dispute resolution protocol, coupled with an Identity verification product. Its use cases currently include oracle, insurance, escrow and market translations disputes.",Dispute Resolution,https://kleros.io/,https://twitter.com/kleros_io?
LexDAO,"LexDAO is a non-profit association of legal engineers that interweives legacy Law and smart contracts. It offers a suite of Limited Liability Company wrappers for DAOs, and secure assets regulation.","Governance, Legal, Treasury",https://www.lexdao.coop/,https://twitter.com/lex_DAO
Llama,"Llama produces a suite of products and services for DAO treasuries, including asset management & analysis, financial reporting and DAO-to-DAO financial interactions.","DeFi, Treasury",https://llama.xyz/,https://twitter.com/llamacommunity_
Medium,"Medium is an open platform where readers find dynamic thinking, and where expert and undiscovered voices can share their writing on any topic.",Media & Comms.,https://medium.com/,https://twitter.com/Medium
MetaGov,"The Metagovernance Project
 is an interdisciplinary research collective. They build standards and infrastructure for digital self-governance.",Governance,https://metagov.org/,
Mintgate,"MintGate is a platform that allows users to create new NFTs that can include unlockable content or generate gated links for token holders.
Unlockable content is media that requires proven ownership of an NFT or social token in order to gain access.
The platform also allows users to sell and buy NFTs using ETH. NFTs minted through MintGate are also available on Rarible.
MintGate has just released a new product, which allows users to create their own branded NFT store, with MintGate’s technology powering the backend.
There are a few web3 solutions that offer token gating through different mechanisms - Guild for Discord, Orca for working groups and MintGate for exclusive content.",NFTs,https://app.mintgate.io/,https://twitter.com/mintgate_io
Mirror,"Mirror is a writers' collective, ideating and community-building through Web3 media & publications. Participation is NFT-based and content may be easily NFT-minted and managed on-platform by its creators.","Art & Culture, Media & Comms., NFTs",https://mirror.xyz/,https://twitter.com/viamirror
Multis,Multis is building a financial backbone for web3 organizations. An all-in-one application to help web3 organizations manage their crypto finances.,Treasury,https://multis.co/,https://twitter.com/multishq
Myco,Myco is an all-in-one platform that enables Digital Social Clubs to create digital media as a group and collectively own the economic rights associated with their actions.,"Governance, Infrastructure",https://www.myco.space/,https://twitter.com/mycodotspace
Nexus Mutual,"Nexus Mutual supplies on-chain insurance through liquidity pools and decentralized validation of customers' claims. Governed by permissioned NXM token holders, it currently covers smart contracts risks and aims further.","DeFi, Treasury",https://nexusmutual.io/,https://twitter.com/NexusMutual
Notion,"Notion is a set of building blocks for creating things you love to use on your computer, such as documents, databases, public websites, knowledge bases , project management systems and more.",Knowledge Management,https://www.notion.so/,https://twitter.com/NotionHQ
Obsidian,Obsidian is a powerful knowledge base on top of a local folder of plain text Markdown files.,Knowledge Management,https://obsidian.md/,https://twitter.com/obsdmd
OpenZeppelin,"OpenZeppelin provides security products to build, automate, and operate decentralized applications. We also protect leading organizations by performing security audits on their systems and products.","Infrastructure, Security & Privacy",https://openzeppelin.com/,https://twitter.com/openzeppelin
Opolis,"Opolis allows independent workers (such as freelancers, gig workers, and DAO contributors) to access benefits typically reserved for corporations (ex, medical insurance and retirement plans.)",Treasury,https://opolis.co/,https://twitter.com/opolis
Orca,"Orca enables DAOs to implement pods. Pods give users a clean and easy-to-use UI to create and approve proposals within a small working group and allow DAOs to create organizational structure. From the user’s perspective, a pod is a clean and easy-to-use interface for multi-sigs. Under the hood, a pod is a Gnosis Safe with a light governance wrapper.",Governance,https://www.orcaprotocol.org/,https://twitter.com/OrcaProtocol
Paladin,Paladin DAO is a decentralized reserve currency that runs on the Binance smart chain.,Governance,https://paladin-dao.com/,https://twitter.com/DaoPaladin
Parcel,"A treasury management tool for DAOs, serving inbuilt Gnosis Safe, recurring and mass payments, and strategies for yield and asset management.","DeFi, Treasury",https://parcel.money/,https://twitter.com/parcelHQ
POAP,POAP enables a new way of keeping long-lasting records of life experiences. A POAP is a digital collectible created as a NFT (non-fungible token) powered by the blockchain.,"Contribution & Reputation, Identity",https://poap.xyz/,https://twitter.com/poapxyz/
PolicyKit,PolicyKit empowers online community members to concisely author a wide range of governance procedures and automatically carry out those procedures on their home platforms.,Governance,https://policykit.org/,
Proof of Humanity,"Proof of Humanity, a system combining webs of trust, with reverse Turing tests, and dispute resolution to create a sybil-proof list of humans.",Identity,https://www.proofofhumanity.id/,https://twitter.com/proofofhumanity
Rabbithole,"Rabbithole cooperates with web3 projects to reward new users for constructive participation in project dapps / platforms. Users learn, earn and build a verified resume', projects gain discovery and involvement.","Contribution & Reputation, DAO Guide, Identity",https://rabbithole.gg/,https://twitter.com/rabbithole_gg
Radicle,"Radicle is a platform that enables decentralized code collaboration. In other words, it provides Git-like peer-to-peer functionality without relying on trusted intermediaries.
It also comes with Ethereum integration, which allows users to do things like linking their ENS name to their profiles, gaining access to Radicle funding, and even creating a DAO or linking their existing DAO to Radicle.",Infrastructure,https://radicle.xyz/,https://twitter.com/radicle
Rally,"Rally is a platform for creators and collectives to autonomously own, present and trade their branded NFT's, while also curate their own tokenized community of fans, collectors and any interested parties.","Art & Culture, NFTs",https://rally.io/,https://twitter.com/rally_io
Request,"Request is a payments tool for direct, cross-bloackchain cryptocurrencies payments with minimal involvement of txn sides' information. Its invoices may designate any special terms and conditions.",Treasury,https://request.network/en/,https://twitter.com/RequestNetwork
Roam,"A note-taking tool for networked thought. As easy to use as a document. As powerful as a graph database.
Roam helps you organize your research for the long haul.",Knowledge Management,https://roamresearch.com/,https://twitter.com/RoamResearch
Rocket.Chat,"Rocket. Chat is a fully customizable communications platform for organizations with high standards of data protection. It enables real-time conversations between colleagues, with other companies or with your customers, regardless of how they connect with you.","Discussion, Media & Comms.",https://rocket.chat/,https://twitter.com/RocketChat
Roll,"The Roll network mints branded digital tokens, which it refers to as social money. These tokens allow a creator to own, control, and coordinate the value they create across social media platforms and within their community. Tokens are minted on the Ethereum blockchain using the ERC20 standard.",Treasury,https://tryroll.com/,https://twitter.com/tryrollhq
Sablier,"Sablier creates stable, constant streams of funds between crypto addresses and applications, serving different payments use cases. It is a product of the HiFi landing protocol.",Treasury,https://sablier.finance/,https://twitter.com/sablierhq
SafeSnap,SafeSnap is Gnosis Safe served by Snapshot voting. It allows DAOs to effortlessly implement their community's off-chain Snapshot decision as binding on-chain transactions on Gnosis Safes.,"Governance, Launcher, Treasury",https://docs.snapshot.org/plugins/safesnap,
Smart Invoice,"Smart Invoice is a sophisticated invoicing tool that handles payments between organizations (which are also called “clients”), and freelancers (which are also called “providers”). Smart Invoice establishes a set of shared expectations between a client and a service provider who are engaged in business with one another.",Treasury,https://smartinvoice.xyz/,https://twitter.com/RaidGuild
Snapshot,"Snapshot is a decentralized voting system. It provides flexibility on how voting power is calculated for vote. Snapshot supports various voting types to cater to the needs of organizations. Creating proposals and voting on Snapshot is user friendly and does not cost any gas as the process is performed off-chain. In short, Snapshot is an off-chain gasless multi-governance client with easy to verify and hard to contest results.","Governance, Launcher",https://snapshot.org/#/,https://twitter.com/SnapshotLabs
Sobol,"Sobol maps accountability across your entire ecosystem so teams can move fast with alignment and trust. It focuses on people, so shows transparent structures by mapping all the roles and team members. It also connects goals and captures signed agreements.","Identity, Infrastructure",https://sobol.io/,https://twitter.com/teamsobol
SourceCred,"SourceCred is a tokenized protocol allowing communities to track, appreciate and reward project and community contributions, according to flexible, self-set parameters.","Contribution & Reputation, Identity, Treasury",https://sourcecred.io/,https://twitter.com/sourcecred
SputnikDAO,SputnikDAO is a hub of DAOs empowering communities of the NEAR ecosystem. Receive rewards for individual contributions by submitting proposals to existing DAOs. Create a guild for your own meaningful project to find allies and monthly funding.,"Governance, Infrastructure",https://www.sputnik.fund/#/,https://twitter.com/NEARProtocol
Superfluid,"Superfluid is a real-time payments tool that enables programmable and streaming payments. Superfluid provides developers and end-users alike the ability to pay and be paid in a more automated, customisable and seamless manner than conventional banking and FinTech.",Treasury,https://www.superfluid.finance/home,https://twitter.com/Superfluid_HQ
Sybil,"Sybil is a governance tool for discovering delegates. Sybil maps on-chain addresses to digital identities to maintain a list of delegates. These verified mappings are public and open for anyone to use.
One use case for Sybil is governance systems on Ethereum. Delegates and voters in these systems benefit from seeing real-world identities attached to Ethereum addresses.",Governance,https://sybil.org/,
Syndicate,"Syndicate an investment protocol allowing communities to easily create strategically focused, blockchain-based investment funds - DAO syndicates, with a stress on democratization and diversity.","DeFi, Launcher, Treasury",https://syndicate.io/,https://twitter.com/SyndicateDAO
Tally,"Tally is a portal for Compound Governance DAOs, offering the a decision-making & management UI and an explorer for their activity and membership. It also serves educational materials and a newsletter focused on decentralized governance.","Analytics, Governance",https://www.withtally.com/,https://twitter.com/voteWithTally
Telegram,"Telegram is a messaging app with a focus on speed and security, it’s super-fast, simple and free. You can use Telegram on all your devices at the same time — your messages sync seamlessly across any number of your phones, tablets or computers. Telegram has over 500 million monthly active users and is one of the 10 most downloaded apps in the world.
With Telegram, you can send messages, photos, videos and files of any type (doc, zip, mp3, etc), as well as create groups for up to 200,000 people or channels for broadcasting to unlimited audiences. You can write to your phone contacts and find people by their usernames. As a result, Telegram is like SMS and email combined — and can take care of all your personal or business messaging needs. In addition to this, we support end-to-end encrypted voice and video calls, as well as voice chats in groups for thousands of participants.","Discussion, Media & Comms.",https://telegram.org/,https://twitter.com/telegram
https://www.notboring.co/p/the-dao-of-daos,"What are DAOs' 7 special powers? a thorough, engaging reading into DAOs and possible future. Author: Packy McCormick.",DAO Guide,https://www.notboring.co/p/the-dao-of-daos?utm_source=url,
The DAOist,"The DAOist is an active DAO ecosystem collaboration for online and offline DAO-related events, media and community-building.",Media & Comms.,https://www.thedaoist.co/,https://twitter.com/TheDAOist_
Thirdweb,"Smart contracts, SDKs and UI components that creators, game studios and developers can integrate into their app. With Thirdweb you can create NFTs and custom tokens, manage drops, develop your own white label marketplace, and much more.",Infrastructure,https://thirdweb.com/,https://twitter.com/thirdweb_
TokenSets,"TokenSets runs the permissionless Set asset management protocol, which integrates various DeFi products into strategizable investments/treasury portfolios.","DeFi, Treasury",https://www.tokensets.com/,https://twitter.com/SetProtocol
Tribute,"Designed to make DAO's easy to assemble, like lego blocks, utilizing a narrowly-defined, tested, and extensible set smart contracts.","Governance, Infrastructure",https://tributedao.com/,
Twitter,"Twitter is an online news and social networking site where people communicate in short messages called
 tweets.","Discussion, Media & Comms.",https://twitter.com,https://twitter.com/Twitter
Unslashed Finance,"Unslashed is a decentralized insurance protocol for common crypto risks, collateralled by lilquidity pools. It is governed by its tokens holders through the Unslashed DAO.","DeFi, Treasury",https://unslashed.finance/,https://twitter.com/UnslashedF
Upstream Collectives,"Upstream Collectives is a multi-feature platform that enables the set-up and operation of a DAO or any self-governed community, which it calls a “Collective”.","Governance, Launcher, Treasury",https://upstreamapp.com/collectives,https://twitter.com/joinupstream
Utopia,"Utopia is an app that attaches to Gnosis Safes and allows DAO managers to set recurring payments (e.g. salaries), receive payment/refund requests from members, and create an annotated transaction history for approved and rejected payments.",Treasury,https://www.utopialabs.com/,https://twitter.com/utopialabs_
https://aragon.org/vocdoni,"VocdoniAn Aragon product since early 2021, Vocdoni developed and runs Vochain - a blockchain that's designed to allow infinitely scalable, free, permissionless, anonymous, on-chain voting.",Governance,https://aragon.org/vocdoni,https://twitter.com/AragonProject
https://decrypt.co/resources/decentralized-autonomous-organization-dao,"A Bulletpoint introduction to DAOs and some of their typical characteristics and use cases. Authors: Matt Hussey, Adriana Hamacher, Stephen Graves.",DAO Guide,https://decrypt.co/resources/decentralized-autonomous-organization-dao,
Wonderverse,"This DAO native tool is a platform which combines critical pieces to manage participation in a DAO. Primarily a project management tool integrated into crypto, it strives to be a one stop shop for all things DAO participation","Contribution & Reputation, Treasury",https://www.wonderverse.xyz/,https://twitter.com/wonderverse_xyz
XDAO,"XDAO is a no-code DAO launcher for EVM-compatible blockchain networks, focused on investments. It offers a native suit of tools for treasury management & operation and mixed on-/off-chain voting system to save gas fees. It currently BUIDLs a palette of modules to enrich governance and other DAO utilities.","DeFi, Launcher",https://www.xdao.app/,https://twitter.com/xdaoapp
YAO DAO,YAP DAO is a community that provides public relations and communications support to the DeFi world. It is a service marketplace for non-technical people to get work in a technical field.,Media & Comms.,https://www.yapdao.xyz/,https://twitter.com/YAPDAO_
Zodiac,"Gnosis's pack of developer-focused DAO tools, based on Gnosis Safe. Its main features include on-chain execution of off-chain voting, a cross-chain DAO agency, a Moloch integrator, and a module for flexible imported governance methods.","Governance, Launcher, Treasury",https://github.com/gnosis/zodiac,https://twitter.com/GnosisGuild